family,model,accuracy,precision,recall,f1_score,auc_roc,tn,fp,fn,tp
Naive Bayes,Multinomial NB (alpha=0.1),0.92845615922539,0.9487934078869924,0.9722557297949337,0.9603812928209711,0.9441123693954834,114,87,46,1612
Naive Bayes,Multinomial NB (alpha=0.5),0.9295320064550834,0.935042735042735,0.9897466827503015,0.961617345443891,0.9402835040719203,87,114,17,1641
Naive Bayes,Multinomial NB (alpha=1.0),0.9117805271651426,0.9122516556291391,0.996984318455971,0.9527377521613832,0.9341141097888122,42,159,5,1653
Naive Bayes,Complement NB (alpha=0.1),0.8542227003765466,0.9859845830413455,0.8486127864897467,0.9121555915721232,0.9441123693954834,181,20,251,1407
Naive Bayes,Complement NB (alpha=0.5),0.8375470683162991,0.9870689655172413,0.8287092882991556,0.9009836065573771,0.9402835040719203,183,18,284,1374
Naive Bayes,Complement NB (alpha=1.0),0.8676707907477138,0.9802721088435374,0.8691194209891435,0.9213554987212276,0.9341141097888122,172,29,217,1441
Random Forest,"RF (n=100, depth=None)",0.9225389994620764,0.9306029579067122,0.9867310012062727,0.9578454332552693,0.9415933000858194,79,122,22,1636
Random Forest,"RF (n=100, depth=10)",0.8612157073695536,0.9710632570659489,0.8703256936067552,0.9179389312977099,0.9089594248300116,158,43,215,1443
Random Forest,"RF (n=100, depth=20)",0.8881118881118881,0.9641485275288092,0.9083232810615199,0.9354037267080745,0.9152278414921772,145,56,152,1506
Random Forest,"RF (n=200, depth=None)",0.9230769230769231,0.9311326124075128,0.9867310012062727,0.9581259150805271,0.9407861176625918,80,121,22,1636
Random Forest,"RF (n=200, depth=10)",0.85691231845078,0.9715447154471545,0.864897466827503,0.9151244416081685,0.9142016095637613,159,42,224,1434
Random Forest,"RF (n=200, depth=20)",0.8929532006455083,0.9643539147040102,0.913751507840772,0.9383710126974295,0.9183305427026509,145,56,143,1515
